hospital,date,count,age_range,source
Клиника за инфективни болести Скопје,2020-03-16,1,50-59,https://www.novamakedonija.com.mk/featured/%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D0%BE%D1%82-%D1%82%D0%B5%D1%81%D1%82-%D0%B7%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81-%D0%BD%D0%B0-%D0%BF%D1%80%D0%B2%D0%BE%D0%B7%D0%B0/
Клиника за инфективни болести Скопје,2020-03-26,2,,https://www.facebook.com/filipce.venko/posts/2346852965621723
Клиника за инфективни болести Скопје,2020-03-30,9,,https://www.slobodenpecat.mk/novi-26-sluchai-na-koronavirus-vo-makedonija-vkupnata-brojka-na-zarazeni-paczienti-e-285-licza-edno-licze-pochina-i-9-se-izlekuvani/
Клиника за инфективни болести Скопје,2020-04-01,5,,https://fokus.mk/izlekuvani-vkupno-17-patsienti-od-korona-vo-zemjava/
Клиника за инфективни болести Скопје,2020-04-03,3,,https://www.slobodenpecat.mk/dve-licza-pochinaa-novi-46-zarazeni-od-koronavirus-vo-zemjava/
Клиника за инфективни болести Скопје,2020-04-05,3,,https://fokus.mk/pochina-63-godishen-mazh-od-labunishta-od-korona-virus/
Клиника за инфективни болести Скопје,2020-04-06,4,,https://24.mk/details/novi-15-dijagnosticirani-trojca-pochinati-brojot-na-zarazeni-so-kovid-19-dostigna-570
Општа болница Дебар,2020-04-06,3,,https://24.mk/details/novi-15-dijagnosticirani-trojca-pochinati-brojot-na-zarazeni-so-kovid-19-dostigna-570
Клиника за инфективни болести Скопје,2020-04-08,5,,https://www.facebook.com/215658488491348/posts/3022867341103768/
Домашна изолација,2020-04-08,2,,https://www.facebook.com/215658488491348/posts/3023272367729932/
Домашна изолација,2020-04-10,1,,https://www.facebook.com/215658488491348/posts/3027610507296118/
Клиника за инфективни болести Скопје,2020-04-10,3,,https://www.facebook.com/215658488491348/posts/3027610507296118/
 Домашна изолација,2020-04-13,3,,https://www.facebook.com/215658488491348/posts/3035072539883248/
Клиника за инфективни болести Скопје,2020-04-14,10,,https://www.facebook.com/215658488491348/posts/3037601069630395/
Домашна изолација,2020-04-14,32,,https://www.facebook.com/215658488491348/posts/3037601069630395/
Домашна изолација,2020-04-15,12,,https://www.facebook.com/215658488491348/posts/3040250616032107/
Клиника за инфективни болести Скопје,2020-04-16,5,,https://www.facebook.com/215658488491348/posts/3042976419092860/
Домашна изолација,2020-04-16,18,,https://www.facebook.com/215658488491348/posts/3042976419092860/
